Point2D
10
[(563.700439453125;191.73281860351562), (150.2862548828125;941.6884155273438), (793.93505859375;689.6386108398438), (981.4620971679688;266.70867919921875), (33.550498962402344;202.23915100097656), (138.9099884033203;415.86865234375), (213.67526245117188;107.55712127685547), null, null, null]
[(69.27674865722656;824.079833984375), (216.32415771484375;531.3193969726562), (238.7039031982422;526.7138671875), (805.2135620117188;848.7191772460938), (767.1375732421875;773.2959594726562), (106.41354370117188;117.48957824707031), (257.87908935546875;62.891544342041016), null, null, null]
[(102.17022705078125;276.7633056640625), (974.202880859375;655.5839233398438), (373.08203125;903.416748046875), (914.1130981445312;453.9273986816406), (105.15791320800781;688.4266967773438), (551.9666137695312;563.3008422851562), (859.7260131835938;294.32464599609375), null, null, null]
[(77.68768310546875;758.0897827148438), (524.1403198242188;843.47412109375), (92.96631622314453;675.312255859375), (82.83412170410156;231.06777954101562), (461.4909973144531;628.5515747070312), (400.192138671875;894.755615234375), (15.518962860107422;808.561279296875), null, null, null]
[(859.3129272460938;930.928466796875), (811.36474609375;999.3883666992188), (920.4410400390625;310.78826904296875), (845.563232421875;675.8896484375), (697.8289184570312;119.33213806152344), (251.17605590820312;878.3871459960938), (986.178955078125;946.7136840820312), null, null, null]
[(985.6478271484375;925.38623046875), (873.744140625;560.578369140625), (689.7722778320312;534.5055541992188), (445.0596618652344;182.6375732421875), (956.4913940429688;917.4501342773438), (405.24066162109375;0.2282857894897461), (423.13873291015625;214.28990173339844), null, null, null]
[(13.387084007263184;73.1033706665039), (602.126220703125;889.4512939453125), (789.8931274414062;559.8057250976562), (467.2909240722656;730.249267578125), (800.4361572265625;768.1707763671875), (539.9654541015625;325.2696533203125), (591.8283081054688;952.8585815429688), null, null, null]
[(849.3665161132812;512.1192626953125), null, null, null, null, null, null, null, null, null]
[(299.3939514160156;333.9857482910156), (310.07928466796875;690.809326171875), (188.98110961914062;808.2689819335938), (28.887807846069336;96.54164123535156), (671.2559814453125;707.1756591796875), (946.910888671875;233.06387329101562), (988.2174072265625;5.691468715667725), null, null, null]
[(297.3540344238281;66.53362274169922), (637.490478515625;47.2992057800293), (106.89395904541016;730.8684692382812), (68.7875747680664;487.6741638183594), (4.393279552459717;273.8731994628906), (258.5262756347656;376.7086181640625), (100.15767669677734;730.6005859375), null, null, null]
[(166.1266632080078;287.80328369140625), (990.0711059570312;463.02081298828125), (28.591453552246094;43.580055236816406), (159.464599609375;122.44647979736328), (176.8282012939453;675.4459838867188), (440.4710998535156;251.71273803710938), (421.6550598144531;212.0154571533203), null, null, null]
[(291.618408203125;106.23472595214844), (401.81982421875;721.7086791992188), (922.6388549804688;892.4563598632812), (817.1904907226562;66.89673614501953), (250.7460174560547;858.731201171875), (370.3220520019531;0.052809715270996094), (328.7491760253906;411.0712890625), null, null, null]
[(514.9590454101562;752.6871948242188), (324.6782531738281;306.33074951171875), (101.90779113769531;742.448974609375), (631.0307006835938;54.25822830200195), (251.4066162109375;275.607177734375), (771.7344970703125;769.7505493164062), (19.44732666015625;668.398193359375), null, null, null]
[(679.5859985351562;472.4483642578125), (780.0248413085938;812.202880859375), (831.3308715820312;36.926151275634766), (231.45962524414062;300.58001708984375), (941.3823852539062;535.4782104492188), null, null, null, null, null]
[(268.09442138671875;408.83953857421875), (452.1324157714844;648.6182250976562), (620.0687255859375;265.99609375), (203.19647216796875;83.7071533203125), (2.871870994567871;212.7130584716797), null, null, null, null, null]
[(842.082275390625;638.1888427734375), (755.3724975585938;497.1005859375), (252.10511779785156;946.985107421875), (951.0194091796875;754.0444946289062), (634.4967041015625;946.6508178710938), null, null, null, null, null]
[(367.846435546875;413.42913818359375), (413.72930908203125;940.6461791992188), (646.0493774414062;224.98846435546875), (256.4273376464844;300.88250732421875), (860.32666015625;630.0554809570312), null, null, null, null, null]
[(132.13955688476562;196.91342163085938), (8.003830909729004;674.952880859375), (665.7933959960938;236.57638549804688), (749.5090942382812;697.4840087890625), (265.55902099609375;260.78228759765625), (564.1865844726562;512.5965576171875), (716.3328857421875;250.3790283203125), null, null, null]
[(918.607421875;144.2913360595703), (12.773513793945312;238.98977661132812), (57.979881286621094;865.9193115234375), (232.08099365234375;189.33975219726562), (683.6427001953125;99.685791015625), (283.3016662597656;92.91201782226562), (547.6839599609375;57.025672912597656), (746.6334228515625;351.53472900390625), null, null]
